URL,Category,Language,Title,Meta_Description
https://101010.pl,social_networking,en,101010.pl,101010.pl czyli najstarszy polski serwer Mastodon. Posiadamy wpisy do 2048 znaków.
https://1rencontre.com,social_networking,en,Better Be Good Gold Hoop Earrings - Ontre,"Dresses,Jewelry,Tops,Accessories,Other Goods,Bottoms,Gifts,1rencontre.com"
https://1rupeematrimony.com,social_networking,en,Indian Matrimony site for Marriage Shaadi Free Matrimonial Matchmaking,"Indian Matrimony site for shaadi, Rs.1 a day to contact matches for marriage. Hindu, Muslim, Christian, Sikh, Jain,find matchmaking Brides & Grooms for FREE"
https://2dhot.com,social_networking,en-US,"2DHot - ? Free Hentai Videos, XXX Movies & Albums","? Free Hentai Videos, XXX Movies & Albums"
https://2mi3.com,social_networking,tr,Antik Yunan ve Roma Kültürü | 2mi3,"Antik Yunan ve Roma Tarihi, Mitolojisi üzerine 2mi3'nin notları, Türkiye ve Avrupa'dan antik kentler..."
https://30plussers.nl,social_networking,nl-NL,30plussers.nl - Blog voor mensen met enige levenservaring,Blog voor mensen met enige levenservaring
https://3nz.it,social_networking,it-IT,3nz.it - Social. Viral. Trends,"Video virali, trending topic, temi caldi social e contenuti popolari da condividere e commentare con gli amici. Su 3nz.it tutto quanto fa tendenza sul web"
https://4crazy.de,social_networking,de,4crazy.de,Hier entsteht 4crazy.de
https://4girls.co.il,social_networking,he-HE,4girls פורגירלס –  רשת חברתית לנערות ונשים צעירות,"רשת חברתית לנערות ונשים צעירות, עם בלוגים, פורומים, צ'אט ויועצים. כאן תוכלי לדבר עם בנות כמוך, על נושאי אהבה, יחסים, עיצוב וטיפוח, DIY, מוזיקה, תחביבים ועוד."
https://4love.ru,social_networking,tr,4Love.ru,
https://4sq.com,social_networking,en-US,Unlocking Powerful Consumer Connections with Location | FSQ,"Foursquare provides businesses with the opportunity to list on City Guide, & consumers can search for places they love."
https://5nolans.org,social_networking,en,Mike Nolan (@five_nolans) • Instagram photos and videos,"261 Followers, 340 Following, 994 Posts - Mike Nolan (@five_nolans) on Instagram: """""
https://7x7-journal.ru,social_networking,ru,«7x7» Горизонтальная Россия,"Пространство, свободное от государства. Региональные новости, мнения и блоги."
https://8bitiz.com,social_networking,tr,8bitiz,"8Bitiz İstanbul’da bulunan bir dijital yaratıcı ajans. Eğer iyi fikirler, projenizin başından sonuna kadar yanınızda olacak, bilgili dinamik tam kadro bir ekip arıyorsanız 8 Bitiz sizin ajansınız. Üstelik bünyesindeki lab ile hayal bile edemeyeceğiniz farklı projelere de imza atabilir, sizi yapılmamışları yapmaya ikna edebiliriz. Hem ekibimize hem ajansımıza fotoğraflarımızdan göz atabilir, bizi daha yakından tanımak isterseniz aşağıdaki iletişim formumuzu doldurabilirsiniz."
https://90larmuzesi.com,social_networking,en,90'lar Müzesi | Müseccel Marka,Müseccel Marka
https://980km.com,social_networking,tr,980km.com,Forsale Lander
https://9mmi.de,social_networking,de,9mmi.de steht zum Verkauf,Die Domain 9mmi.de steht zum Verkauf. Sie können diese Domain jetzt per Sofortkauf zum Festpreis mit dem Treuhandservice von ELITEDOMAINS kaufen.
https://abgefuckt-liebt-dich.de,social_networking,de,Abgefuckt liebt Dich - Independent / Alternative / Punk / Metal / Gothic / Community / Bands / Konzerte / Sensationen und Abenteuer/  Web 2.0 ist doof,"Abgefuckt liebt Dich - Alles Gute gegen das Alleinsein. Die Community nur für echte Indies und solche, die es werden wollen."
https://actionsprout.com,social_networking,en-US,Action Sprout - The Ultimate Facebook Tool,Elevate your brand and community interactions with Action Sprout's intuitive tools and strategies.
https://adana.net,social_networking,tr-TR,Adana Arkadaşlık Sitesi | istanbul.net,"Adana'da arkadaşlık, sohbet, evlilik sitesi arıyorsan Türkiye’nin en büyük ve güvenilir ciddi arkadaşlık sitesi istanbul.net’e ücretsiz üye ol, sohbete başla."
https://adnantanriverdi.com,social_networking,tr-tr,www.AdnanTanriverdi.com,Emekli Tuğgeneral Adnan Tanrıverdi'nin resmi web sitesi
https://affection.fr,social_networking,fr-FR,Transporter votre chien avec affection - Donner de l'affection à votre chien,Donner de l'affection à votre chien
https://affection.org,social_networking,fr-FR,"Affection.org,  Rencontres amoureuses sérieuses.",Affection fournit un service gratuit destinée à ceux qui cherchent une relation amoureuse sérieuse et stable en vue de fonder une famille. 
https://afroloving.com,social_networking,en,Dating website Afroloving,"Afroloving, Site de rencontres africaines."
https://afterfiveyears.com,social_networking,en,after five years | the emotional life of breast cancer and life's other travails,the emotional life of breast cancer and life's other travails
https://agenzia-marianna.com,social_networking,it-IT,Ragazze Russe vere. L'Agenzia Matrimoniale per Incontrarle!,"AGENZIA MATRIMONIALE MARIANNA. Dal 1997, matrimoni e convivenze solo con Ragazze Russe vere ed affidabili, viaggi+incontri in Russia."
https://aha.bg,social_networking,bg,Aha.bg – Българската мрежа за Споделяне на Новини,"Новини и анализи от България и Света. Споделяй всичко което те вълнува от Технологии, Спорт и Лайфстайл."
https://ahmetaltay.com,social_networking,tr-TR,ahmetaltay.com,Ahmet Altay Resmi Web Sitesi
https://ahsapglobal.com,social_networking,tr,Ahşap Global,"Ahşap Global, Ahşap, Kereste, Osb, Plywood, gibi Yapısal Ürünlerin Özel Haberleri ve Röportajlarını içeren haber sitesidir"
